Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2020,1,1,0,0,0,0,27.9,31.7,25.6,12.2,39.2
Changi,2020,1,2,0,0,0,0,27.6,30.7,25.4,11.9,39.6
Changi,2020,1,3,0,0,0,0,28,31.9,26,12.6,43.2
Changi,2020,1,4,0,0,0,0,27.6,31.4,25.8,12.2,39.2
Changi,2020,1,5,0,0,0,0,27.8,32,25.1,12.6,40.7
Changi,2020,1,6,11,4.2,4.2,6,26.4,32.3,23.8,9.4,40.7
Changi,2020,1,7,4.8,1.2,1.6,2.8,26.1,29.9,23.8,9.4,40.7
Changi,2020,1,8,0,0,0,0,27.6,31.5,25.1,11.9,40
Changi,2020,1,9,0,0,0,0,27.8,31.3,26.1,11.5,38.5
Changi,2020,1,10,2.4,2,2.4,2.4,27.1,30.5,24.1,8.3,37.1
Changi,2020,1,11,0,0,0,0,27.4,30.9,25.1,8.6,26.3
Changi,2020,1,12,0,0,0,0,27.7,32.3,25.3,9.7,30.2
Changi,2020,1,13,0,0,0,0,27.6,31.9,24.6,11.5,36.7
Changi,2020,1,14,0,0,0,0,27.5,31.4,25.1,11.9,36
Changi,2020,1,15,0,0,0,0,27.9,31.9,26.1,12.2,36.4
Changi,2020,1,16,0,0,0,0,28,31.8,25.9,11.9,29.9
Changi,2020,1,17,0,0,0,0,28.1,32.8,25.3,11.5,33.5
Changi,2020,1,18,0,0,0,0,28.2,32.6,25.4,12.2,33.8
Changi,2020,1,19,0,0,0,0,28.5,32.3,26.3,14,34.6
Changi,2020,1,20,0,0,0,0,28.4,32.8,24.8,15.5,37.1
Changi,2020,1,21,14.2,4,5.6,8,26.6,28,24.3,12.6,35.6
Changi,2020,1,22,0,0,0,0,28.2,32,26.3,14.8,36
Changi,2020,1,23,0,0,0,0,28.2,32,25.8,13.3,38.5
Changi,2020,1,24,0,0,0,0,28,31.8,25.6,14.4,37.1
Changi,2020,1,25,0,0,0,0,28.1,32.3,25.1,12.6,31.3
Changi,2020,1,26,0,0,0,0,28.3,32.8,25.1,11.9,28.8
Changi,2020,1,27,38,16.6,22.2,37.2,27.8,32.2,25.4,10.4,34.6
Changi,2020,1,28,0,0,0,0,28.6,32.6,26,11.2,31
Changi,2020,1,29,18,9.6,10.8,14,27,31.5,23.8,8.3,32.4
Changi,2020,1,30,0,0,0,0,27.2,30.6,24,10.4,31.3
Changi,2020,1,31,0,0,0,0,28.5,32.1,26.5,15.8,37.1
